# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   99       3.591936986034e-10       1.021879036397e-13      -3.026211915529e-12       3.845582493313e-16       1.019814697984e-11       1.502508502855e-12      -7.283048627620e-15 
  100       3.633851581024e-10       1.041910014969e-13      -3.115057571465e-12       3.924709144630e-16       9.933967584090e-12       1.471934731540e-12      -7.186126818928e-15 
  101       3.676040408589e-10       1.061749761710e-13      -3.204008925188e-12       4.004705185101e-16       9.678973502691e-12       1.442338757892e-12      -7.088869144239e-15 
  102       3.718493488664e-10       1.081377918193e-13      -3.292994044759e-12       4.085571436350e-16       9.432463671081e-12       1.413656132406e-12      -6.994094001960e-15 
  103       3.761198779749e-10       1.100773861775e-13      -3.381939705706e-12       4.167308595203e-16       9.193613324682e-12       1.385809316954e-12      -6.904824414142e-15 
  104       3.804144714518e-10       1.119917247311e-13      -3.470772432664e-12       4.249918437410e-16       8.961660812314e-12       1.358725534860e-12      -6.823634881014e-15 
  105       3.847328351654e-10       1.138789706730e-13      -3.559421753824e-12       4.333407622646e-16       8.736504822925e-12       1.332393940970e-12      -6.750581247788e-15 
  106       3.890748196231e-10       1.157373387824e-13      -3.647817414747e-12       4.417784398411e-16       8.518181246795e-12       1.306815454127e-12      -6.684998731068e-15 
  107       3.934401647747e-10       1.175650447104e-13      -3.735888415486e-12       4.503057447334e-16       8.306678208937e-12       1.281984988524e-12      -6.626132376283e-15 
  108       3.978284956846e-10       1.193603059839e-13      -3.823563036141e-12       4.589235896425e-16       8.101934427417e-12       1.257891248669e-12      -6.573134569846e-15 
  109       4.022393182039e-10       1.211213430104e-13      -3.910768862405e-12       4.676329326329e-16       7.903837571683e-12       1.234516524345e-12      -6.525062551310e-15 
  110       4.066720146424e-10       1.228463800823e-13      -3.997432811119e-12       4.764347780583e-16       7.712222620889e-12       1.211836485570e-12      -6.480875925529e-15 
  111       4.111258394406e-10       1.245336463811e-13      -4.083481155823e-12       4.853301774865e-16       7.526870222217e-12       1.189819977562e-12      -6.439434174815e-15 
  112       4.155999148417e-10       1.261813769823e-13      -4.168839552303e-12       4.943202306251e-16       7.347505049206e-12       1.168428815699e-12      -6.399494171095e-15 
  113       4.200932265637e-10       1.277878138593e-13      -4.253433064149e-12       5.034060862468e-16       7.173794160073e-12       1.147617580481e-12      -6.359707688070e-15 
  114       4.246046194714e-10       1.293512068882e-13      -4.337186188298e-12       5.125889431148e-16       7.005345356040e-12       1.127333412493e-12      -6.318618913371e-15 
  115       4.291327932483e-10       1.308698148523e-13      -4.420022880592e-12       5.218700509080e-16       6.841705539658e-12       1.107515807363e-12      -6.274661960721e-15 
  116       4.336764800050e-10       1.323419525706e-13      -4.501867310804e-12       5.312506109614e-16       6.682459962575e-12       1.088110372611e-12      -6.226495806566e-15 
  117       4.382350108549e-10       1.337661366375e-13      -4.582646177243e-12       5.407314628168e-16       6.527547167988e-12       1.069112434035e-12      -6.174060616975e-15 
  118       4.428078104164e-10       1.351409593713e-13      -4.662286722853e-12       5.503133611226e-16       6.376979434665e-12       1.050528370679e-12      -6.117645776189e-15 
  119       4.473942183512e-10       1.364650456718e-13      -4.740716062567e-12       5.599970724486e-16       6.230744572214e-12       1.032362046643e-12      -6.057564443876e-15 
  120       4.519934866443e-10       1.377370544328e-13      -4.817861215309e-12       5.697833753254e-16       6.088805171440e-12       1.014614729480e-12      -5.994154050709e-15 
  121       4.566047768853e-10       1.389556799543e-13      -4.893649135996e-12       5.796730602840e-16       5.951097854713e-12       9.972850086147e-13      -5.927776793936e-15 
  122       4.612271575485e-10       1.401196533546e-13      -4.968006747534e-12       5.896669298953e-16       5.817532526324e-12       9.803687137460e-13      -5.858820132956e-15 
  123       4.658596012738e-10       1.412277439828e-13      -5.040860972825e-12       5.997657988100e-16       5.687991622852e-12       9.638588332596e-13      -5.787697284898e-15 
  124       4.705009821475e-10       1.422787608308e-13      -5.112138766765e-12       6.099704937976e-16       5.562329363524e-12       9.477454326355e-13      -5.714847720191e-15 
  125       4.751500729827e-10       1.432715539457e-13      -5.181767148243e-12       6.202818537865e-16       5.440371000579e-12       9.320155728574e-13      -5.640737658145e-15 
  126       4.798055426001e-10       1.442050158421e-13      -5.249673232147e-12       6.307007299033e-16       5.321912069626e-12       9.166532288218e-13      -5.565860562520e-15 
  127       4.844659531084e-10       1.450780829142e-13      -5.315784261359e-12       6.412279855125e-16       5.206717640013e-12       9.016392077467e-13      -5.490737637104e-15 
  128       4.891297571856e-10       1.458897368481e-13      -5.380027638762e-12       6.518644962558e-16       5.094521565185e-12       8.869510675809e-13      -5.415918321289e-15 
  129       4.937954567030e-10       1.466390475901e-13      -5.442331759006e-12       6.626111154659e-16       4.985083631747e-12       8.725684305837e-13      -5.341882306693e-15 
  130       4.984621040507e-10       1.473253045807e-13      -5.502628539018e-12       6.734685660320e-16       4.878369687169e-12       8.584897564130e-13      -5.268732381440e-15 
  131       5.031288509252e-10       1.479479026529e-13      -5.560851226861e-12       6.844375366912e-16       4.774389947638e-12       8.447172634414e-13      -5.196468670207e-15 
  132       5.077947903661e-10       1.485063034598e-13      -5.616933664200e-12       6.955187153855e-16       4.673142538614e-12       8.312516559613e-13      -5.125083885691e-15 
  133       5.124589551909e-10       1.490000371836e-13      -5.670810324027e-12       7.067127890528e-16       4.574613159491e-12       8.180920812006e-13      -5.054563119506e-15 
  134       5.171203164304e-10       1.494287042461e-13      -5.722416348384e-12       7.180204434196e-16       4.478774748269e-12       8.052360863370e-13      -4.984883633081e-15 
  135       5.217777817637e-10       1.497919770175e-13      -5.771687586087e-12       7.294423627923e-16       4.385587146209e-12       7.926795755133e-13      -4.916014648550e-15 
  136       5.264301939536e-10       1.500896015265e-13      -5.818560630449e-12       7.409792298491e-16       4.294996762504e-12       7.804167668521e-13      -4.847917139653e-15 
  137       5.310763292817e-10       1.503213991695e-13      -5.862972857008e-12       7.526317254317e-16       4.206936238940e-12       7.684401494706e-13      -4.780543622632e-15 
  138       5.357148959832e-10       1.504872684209e-13      -5.904862461242e-12       7.644005283374e-16       4.121324114562e-12       7.567404404956e-13      -4.713837947121e-15 
  139       5.403445326828e-10       1.505871865418e-13      -5.944168496303e-12       7.762863151104e-16       4.038064490337e-12       7.453065420784e-13      -4.647735087046e-15 
  140       5.449638068293e-10       1.506212112903e-13      -5.980830910734e-12       7.882897598344e-16       3.957046693818e-12       7.341254984096e-13      -4.582160931521e-15 
  141       5.495712131308e-10       1.505894826310e-13      -6.014790586194e-12       8.004115339233e-16       3.878144943811e-12       7.231824527340e-13      -4.517032075742e-15 
  142       5.541651719904e-10       1.504922244443e-13      -6.045989375185e-12       8.126523059139e-16       3.801218015036e-12       7.124606043657e-13      -4.452255611883e-15 
  143       5.587440279407e-10       1.503297462362e-13      -6.074370138772e-12       8.250127412575e-16       3.726108902792e-12       7.019411657026e-13      -4.387728919991e-15 
  144       5.633061816020e-10       1.501024554445e-13      -6.099877302656e-12       8.374934971603e-16       3.652677710226e-12       6.916074226097e-13      -4.323361183396e-15 
  145       5.678505035215e-10       1.498108921150e-13      -6.122458507543e-12       8.500952069730e-16       3.580904672211e-12       6.814574574690e-13      -4.259140766974e-15 
  146       5.723759583479e-10       1.494557009093e-13      -6.142063193945e-12       8.628184938593e-16       3.510796698066e-12       6.714926045783e-13      -4.195074114904e-15 
  147       5.768814741826e-10       1.490376225708e-13      -6.158642138791e-12       8.756639753744e-16       3.442354917859e-12       6.617134401840e-13      -4.131164539120e-15 
  148       5.813659417818e-10       1.485574956946e-13      -6.172147496123e-12       8.886322632282e-16       3.375574538001e-12       6.521197630787e-13      -4.067412135062e-15 
  149       5.858282137592e-10       1.480162584984e-13      -6.182532837802e-12       9.017239630489e-16       3.310444696846e-12       6.427105751982e-13      -4.003813697421e-15 
  150       5.902671037886e-10       1.474149505929e-13      -6.189753194214e-12       9.149396741460e-16       3.246948320293e-12       6.334840622196e-13      -3.940362635893e-15 
  151       5.946813858063e-10       1.467547147521e-13      -6.193765094966e-12       9.282799892739e-16       3.185061977382e-12       6.244375741579e-13      -3.877048890925e-15 
  152       5.990697932138e-10       1.460367986844e-13      -6.194526609594e-12       9.417454943951e-16       3.124755735890e-12       6.155676059645e-13      -3.813858849467e-15 
